PAIR of
Id1 Id2
37849 85611
37863 57113
37887 50406
37891 50266
37921 77838
37956 56896
37973 74024
37994 80779
38085 55429
38123 81076
38143 90466
38150 63225
38170 82130
38172 51016
38184 39864
38217 75845
38282 53035
38286 50527
38342 79554
38366 73704
38422 92774
38442 45476
38453 60490
38588 39616
38619 55683
38707 52772
38715 86674
38752 44322
38835 85811
38942 88959
38958 52415
38996 75349
39021 65267
39032 69573
39040 43476
39099 87536
39152 83817
39165 90539
39242 90830
39273 48341
39292 48608
39298 63844
39323 70463
39336 48876
39339 46853
39346 83113
39451 90489
39548 54433
39559 80348
39611 88175
39705 82162
39720 67814
39761 49834
39768 57351
39783 85859
39810 83708
39833 60669
39852 48379
39865 53947
39898 91505
39900 64911
39913 45151
39916 86555
39947 76302
39956 74261
39978 47727
39979 63599
40017 80210
40029 91059
40035 44843
40060 72064
40062 79384
40119 55508
40299 47824
40321 55724
40439 88833
40487 60070
40506 50244
40512 51104
40591 89851
40740 83742
40818 52111
40820 70866
40830 89130
40841 68160
40847 50268
40896 87036
40907 60260
40915 83371
40919 91807
40965 43551
40992 88282
41029 87659
41059 41778
41096 67657
41125 78946
41128 76247
41143 89416
41163 46385
41170 89191
41184 66258
41191 72451
41240 85303
41262 61841
41319 69235
41353 74825
41360 80859
41363 46541
41385 85852
41386 58348
41397 48756
41416 59028
41418 69492
41443 44844
41447 63340
41465 85517
41487 92664
41501 90879
41518 61618
41536 66574
41563 83957
41582 44712
41627 59829
41635 73220
41688 76923
41746 52531
41773 56809
42032 58080
42106 79874
42136 77869
42250 61749
42262 50797
42285 43512
42293 55603
42331 64810
42358 69707
42366 55744
42440 78113
42445 68745
42446 70280
42518 86356
42533 74559
42549 79565
42744 55703
42831 80323
42864 62373
42921 61950
42937 54385
43141 79627
43144 86608
43177 81880
43184 91446
43217 92119
43236 43879
43240 49488
43243 69317
43294 71365
43341 53922
43352 48781
43405 62725
43514 52725
43582 66116
43601 70895
43750 65911
43766 69563
43792 68409
43810 46334
43881 70097
43895 82464
43914 84129
43933 90293
43941 63224
44069 50243
44071 90058
44165 75346
44168 62971
44290 51852
44359 66738
44366 62282
44384 60566
44419 91006
44462 75662
44529 69822
44534 68223
44569 61551
44575 84285
44579 69374
44624 46225
44680 68652
